Sl.,Course,Course Title,No. of,Pricing,,Sl.,Course,Course Title,No. of,Pricing,
No.,Code,,Blocks,in Rs.,,No.,Code,,Blocks,in Rs.,
,,,,English,Hindi,,,,,English,Hindi
,SCHOOL OF MANAGEMENT STUDIES,,,,,23. MS-43,,Management Control Systems 5,,875.00,-
,,,,,,24. MS-44,,Security Analysis and,,,
1.,MS-1,Management Functions,,,,,,Portfolio Management,5,975.00,-
,,and Behaviour,5,750.00,-,,,,,,
,,,,,,23. MS-45,,International Financial,,,
2.,MS-2,Management of Human,,,,,,,,,
,,,,,,,,Management,4,625.00,-
,,Resources,6,950.00,-,,,,,,
,,,,,,25. MS-46,,Management of,,,
3.,MS-3,Economic and Social,,,,,,,,,
,,,,,,,,Financial Services,5,1000.00,-
,,Environment,5,1050.00,-,,,,,,
,,,,,,26. MS-51,,Operations Research,6,800.00,-
4.,MS-4,Accounting and Finance for,,,,,,,,,
,,Managers,5,950.00,-,27. MS-52,,Project Management,4,625.00,-
5.,MS-5,Management of Machines,,,,28. MS-53,,Production/Operations,,,
,,and Materials,6,925.00,-,,,Management,6,850.00,-
6.,MS-6,Marketing for Managers,6,950.00,-,29. MS-54,,Management of,,,
,,,,,,,,Information Systems,6,725.00,-
7.,MS-7,Information Systems for,,,,,,,,,
,,Managers,5,825.00,-,30. MS-55,,Logistics and Supply,,,
,,,,,,,,Chain Management,6,900.00,-
8.,MS-8,QuantitativeAnalysis for,,,,,,,,,
,,ManagerialApplications,5,825.00,-,31. MS-56,,Materials Management,6,850.00,-
9.,MS-9,Managerial Economics,5,725.00,-,32. MS-57,,Maintenance Management,5,875.00,
,,,,,,33. MS-58,,Management of R&D,,,
10. MS-10,,"Organization Design,",,,,,,,,,
,,Development and Change,5,850.00,-,,,Innovation,5,900.00,-
,,,,,,34. MS-61,,Consumer Behaviour,5,650.00,-
11. MS-11,,Strategic Management,5,775.00,-,,,,,,
,,,,,,35. MS-62,,Sales and Distribution,,,
12,MS-21,Social Processes and,,,,,,Management,5,750.00,-
,,Behavioural Issues,5,800.00,-,,,,,,
,,,,,,36. MS-63,,Product Management,5,675.00,-
13. MS-22,,Human Resource,,,,,,,,,
,,Development,4,1000.00,-,37. MS-64,,International Marketing,5,650.00,-
14. MS-23,,Human Resource Planning,4,575.00,-,38. MS-65,,Marketing of Services,5,750.00,-
15. MS-24,,Employment Relations,6,750.00,-,39. MS-66,,Marketing Research,4,650.00,-
16. MS-25,,Managing Change in,,,,40. MS-68,,Management of Marketing,,,
,,Organisations,4,675.00,-,,,Communication and,,,
,,,,,,,,Advertising,6,925.00,-
17. MS-26,,Organisational Dynamics,5,850.00,-,,,,,,
,,,,,,41. MS-91,,Advanced Strategic,,,
18. MS-27,,Wage and Salary,,,,,,Management,5,725.00,-
,,Administration,5,625.00,-,,,,,,
,,,,,,42. MS-92,,Management of Public,,,
19. MS-28,,Labour Laws,6,950.00,-,,,Enterprises,6,900.00,-
20. MS-29,,International Human,,,,43,MS-93,Management of New and,,,
,,Resource Management,4,550.00,,,,Small Enterprises,5,700.00,
21. MS-41,,Working Capital Management,4,700.00,-,44. MS-94,,Technology Management,6,925.00,
22. MS-42,,Capital Investment and,,,,45. MS-95,,Research Methodology for,,,
,,Financing Decisions,5,800.00,-,,,Management Decisions,4,550.00,-
,,,,,,1,,,,,

Contd. from pre page,,,,,,,,,,,
Sl.,Course,Course Title,No. of,Pricing,,Sl.,Course,Course Title,No. of,Pricing,
No.,Code,,Blocks,in Rs.,,No.,Code,,Blocks,in Rs.,
,,,,English,Hindi,,,,,English,Hindi
46. MS-96,Total Quality Management,,2,1050.00,,,71. ECO-10,Elements of Costing,4,600.00,625.00
47. MS-97,International Business,,5,750.00,-,,72. ECO-11,Elements of Income Tax,4,625.00,750.00
48. MS-422,Bank Financial Management,,5,925.00,-,,73. ECO-12,Elements ofAuditing,4,525.00,550.00
MS-423,Marketing of Financial Service 5,,,825.00,,,74. ECO-13,Business of Environment,4,625.00,675.00
49. MS-424,International Banking,,,,,,75. ECO-14,Accountancy – II,5,975.00,1100.00
,Management,,5,750.00,-,,,,,,
,,,,,,,76. MCO-01,Organisation Theory and,5,800.00 1025.00,
50. MS-425,Electronic Banking and,,,,,,,Behaviour,,,
,IT in Banks,,5,825.00,-,,,,,,
,,,,,,,77. MCO-03,Research Methodology &,5,1050.00 1075.00,
51. MS-611,Rural Marketing,,6,725.00,-,,,Statistical Analysis,,,
52. MS-612,Retail Management,,5,750.00,-,,78. MCO-04,Business Environment,5,1050.00 1250.00,
,,,,,,,79. MCO-05,Accounting for,,,
53. IBO-01,International Business,,,,,,,,,,
,,,,,,,,Managerial Decisions,5,1150.00 1375.00,
,Environment,,5,850.00 1000.00,,,,,,,
,,,,,,,80. MCO-06,Marketing Management,6,1000.00 1225.00,
54. IBO-02,International Marketing,,,,,,,,,,
,Management,,6,825.00 1000.00,,,81. MCO-07,Financial Management,5,850.00,975.00
55. IBO-03,India’s Foreign Trade,,5,750.00,900.00,,82. PCO-01,Preparatory Course in,,,
,,,,,,,,Commerce,5,825.00,850.00
56. IBO-04,Export Import Procedures,,,,,,,,,,
,and Documentation,,4,625.00,775.00,,83. PCO-01,Preparatory Course in,,,
,,,,,,,,Commerce (Odiya),5,-,875.00
57. IBO-05,International Marketing,,,,,,,,,,
,Logistics,,4,625.00,775.00,,84. BCOA-001 Business Communication,,2,475.00,-
,,,,,,,,& Entrepreneurship,,,
58. IBO-06,International Business Finance 4,,,750.00,925.00,,,,,,
,,,,,,,85. BMS-01,Introduction to NGO,,,
59. AED-01,Export Procedure &,,4,525.00,650.00,,,,,,
,,,,,,,,Management,3,425.00,-
,Documentation,,,,,,,,,,
,,,,,,,86. BMS-02,Management Functions,4,525.00,-
60. AMK-01,Marketing,,5,675.00,750.00,,,,,,
,,,,,,,87. BMS-03,Health Care Management,3,500.00,-
61. AOM-01,Office Organisation &,,5,750.00,825.00,,,,,,
,,,,,,,88. CIE-01,Introduction to,,,
,Management,,,,,,,Entrepreneurship,2,250.00,-
62. ASP-01,Secretarial Practice,,4,575.00,600.00,,,,,,
,,,,,,,89. CIE-02,BusinessApportunity,,,
63. ECO-01,Business Organisation,,5,775.00,925.00,,,Identification,2,300.00,-
64. ECO-02,Accountancy – I,,5,1000.00 1225.00,,,90. CIE-03,Enterprise Creation and,,,
,,,,,,,,Legal Requirements,2,250.00,-
65. ECO-03,Management Theory,,4,575.00,675.00,,,,,,
,,,,,,,91. CIE-04,Enterprise Management,3,400.00,-
66. ECO-05,Mercantile Law,,5,775.00,875.00,,,,,,
,,,,,,,92. CIE-05,Computer for Entrepreneurs,2,500.00,-
67. ECO-06,Economic Theory,,5,800.00,875.00,,93. BRL-001 Overview of Retailing,,1,275.00,-
68. ECO-07,Elements of Statistics,,4,850.00,825.00,,94. BRL-002 Retail Marketing and,,,,
,,,,,,,,Communication,1,450.00,-
69. ECO-08,Company Law,,4,625.00,750.00,,,,,,
,,,,,,,95. BRL-003 Retail Management,,,,
70. ECO-09,"Money, Banking & Financial",,4,550.00,575.00,,,Perspective and,,,
,Institution,,,,,,,Communication,1,350.00,-
,,,,,,2,,,,,

Contd. from pre page,,,,,,,,,,,,
Sl.,Course,Course Title,No. of,Pricing,,,Sl.,Course,Course Title,No. of,Pricing,
No.,Code,,Blocks,in Rs.,,,No.,Code,,Blocks,in Rs.,
,,,,English,,Hindi,,,,,English,Hindi
96. BRL-004 Customer Service,,,,,,,,13. NGS-001,Awareness Course on Gandhi,,,
,Management,,1,,275.00,-,,,and the Contemporary Wold,1,300.00,350.00
97. BRLT-005Internship and Viva-Voce,,,1,,250.00,-,,,xk/kh vkSj ledkyhu fo’o,,,
,,,,,,,,,ij tkx:drk ikB;Øe,,,
98. BRL-007 Store Operation-I,,,1,,375.00,-,,,,,,
,,,,,,,,14. BWEE-012,Women and Society: Global,1,575.00,650.00
99. BRL-008 Human Resources,,,1,,250.00,-,,,Concern and Local Issue,,,
,,,,,,,,,"efgyk,¡ vkSj lekt % oSf’od",,,
,,,,,,,,,ljkdkj vkSj LFkkuh; eÌs,,,
,SCHOOL OF SOCIAL STUDIES (SOSS),,,,,,,,,,,
,,,,,,,,15. PFM-1,Participatory Forest,1,1000.00 1175.00,
1.,MRR-101,Understanding Development,,,,,,,Management,,,
,,Caused Displacement,,1,725.00,-,,,Lkk>kou izca/ku,,,
2.,MRR-102,Role of Participation in,,,,,,16. PFM-2,Participatory Forest,,,
,,Sustainable Development,,1,700.00,-,,,Management,1,825.00,900.00
,,,,,,,,,Lkk>k ou izca/ku,,,
3.,MRR-103,Participating Planning for,,,,,,,,,,
,,Resettlement and,,,,,,17. PFM-3,Participatory Forest,,,
,,Rehabilitation,,1,850.00,-,,,Management,1,1425.00 1600.00,
,,,,,,,,,Lkk>k ou izca/ku,,,
4.,MRR-104,Participatory Implementing &,,,,,,,,,,
,,Monitoring of Resettlement &,,,,,,18. PFM-4,Participatory Forest,,,
,,Rehabilitation,,1,475.00,-,,,Management,,,
,,,,,,,,,Lkk>k ou izca/ku,1,975.00,1025
5.,MRR-005,Theoretical Perspectives,,1,800.00,-,,,,,,
,,in R&R,,,,,,19. PFM-5,lkfofu & 1 lgHkkxh,4,850.00,925.00
6.,MRR-006,Illustrative R&R Case Studies,,,,,,20. ESO-11,The Study of Society,8,925.00 1000.00,
,,from Different Development,,,,,,,lekt dk v/;;u,,,
,,Sectors,,1,275.00,-,,21. ESO-12,Society in India,8,1350.00 1400.00,
,,,,,,,,,Hkkjr ea lekt,,,
7.,MRRE,Economic Planning of R&R,,,,,,,,,,
,007/008/,Implementation Socio-cultural,,,,,,22. ESO-13,Sociological Thought,7,1075.00 1075.00,
,009/010,and Infrastructural-Planning,,,,,,,lekt ’kkL=h; fl)kUr,,,
,,"and Relocation, Economic",,,,,,,,,,
